CP, 84, 2012060500, 03, DRCL,  36, 211N, 1516W, 115,    0, HU,  34, NEQ,  133,  121,  122,  135, 
CP, 84, 2012060500, 03, DRCL,  36, 211N, 1516W, 115,    0, HU,  50, NEQ,   81,   75,   76,   82, 
CP, 84, 2012060500, 03, DRCL,  36, 211N, 1516W, 115,    0, HU,  64, NEQ,   44,   41,   41,   44, 
CP, 84, 2012060500, 03, DRCL,  48, 211N, 1521W, 120,    0, HU,  34, NEQ,  133,  121,  123,  135, 
CP, 84, 2012060500, 03, DRCL,  48, 211N, 1521W, 120,    0, HU,  50, NEQ,   81,   75,   76,   82, 
CP, 84, 2012060500, 03, DRCL,  48, 211N, 1521W, 120,    0, HU,  64, NEQ,   47,   44,   44,   47, 
CP, 84, 2012060500, 03, DRCL,  72, 212N, 1530W, 125,    0, HU,  34, NEQ,  134,  122,  124,  136, 
CP, 84, 2012060500, 03, DRCL,  72, 212N, 1530W, 125,    0, HU,  50, NEQ,   80,   75,   76,   81, 
CP, 84, 2012060500, 03, DRCL,  72, 212N, 1530W, 125,    0, HU,  64, NEQ,   49,   47,   47,   50, 
CP, 84, 2012060500, 03, DRCL,  96, 212N, 1540W, 130,    0, HU,  34, NEQ,  133,  122,  125,  136, 
CP, 84, 2012060500, 03, DRCL,  96, 212N, 1540W, 130,    0, HU,  50, NEQ,   80,   75,   76,   81, 
CP, 84, 2012060500, 03, DRCL,  96, 212N, 1540W, 130,    0, HU,  64, NEQ,   50,   48,   49,   51, 
CP, 84, 2012060500, 03, DRCL, 120, 212N, 1550W, 135,    0, HU,  34, NEQ,  134,  123,  125,  137, 
CP, 84, 2012060500, 03, DRCL, 120, 212N, 1550W, 135,    0, HU,  50, NEQ,   80,   75,   76,   81, 
CP, 84, 2012060500, 03, DRCL, 120, 212N, 1550W, 135,    0, HU,  64, NEQ,   51,   48,   49,   51, 
CP, 84, 2012060500, 03, DSHP,   0, 211N, 1501W, 105,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, DSHP,  12, 220N, 1529W,  81,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, DSHP,  24, 227N, 1558W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, DSHP,  36, 232N, 1588W,  48,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, DSHP,  48, 238N, 1616W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, DSHP,  60, 245N, 1642W,  40,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, DSHP,  72, 261N, 1657W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, DSHP,  84, 291N, 1648W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, DSHP,  96, 332N, 1613W,  16,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, DSHP, 108, 376N, 1579W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, DSHP, 120, 418N, 1536W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, IVCN,   0,   0N,    0W, 105,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, IVCN,  12,   0N,    0W,  85,    0,   ,   0,    ,    0,    0,    0,    0, 
CP, 84, 2012060500, 03, IVCN,  24,   0N,    0W,  66,    0,   ,   0,    ,    0,    0,    0,    0, 
