IO, 01, 2021051406, 03, NVGM, 036, 145N,  724E,  72,  984, XX,  34, NEQ, 0030, 0128, 0156, 0080,    0,    0, 030
IO, 01, 2021051406, 03, NVGM, 036, 145N,  724E,  72,  984, XX,  50, NEQ, 0030, 0065, 0112, 0051,    0,    0, 030
IO, 01, 2021051406, 03, NVGM, 036, 145N,  724E,  72,  984, XX,  64, NEQ, 0049, 0043, 0000, 0000,    0,    0, 030
IO, 01, 2021051406, 03, NVGM, 042, 152N,  719E,  72,  980, XX,  34, NEQ, 0123, 0161, 0168, 0184,    0,    0, 020
IO, 01, 2021051406, 03, NVGM, 042, 152N,  719E,  72,  980, XX,  50, NEQ, 0081, 0075, 0113, 0104,    0,    0, 020
IO, 01, 2021051406, 03, NVGM, 042, 152N,  719E,  72,  980, XX,  64, NEQ, 0044, 0045, 0051, 0034,    0,    0, 020
IO, 01, 2021051406, 03, NVGM, 048, 159N,  716E,  88,  981, XX,  34, NEQ, 0113, 0149, 0164, 0171,    0,    0, 022
IO, 01, 2021051406, 03, NVGM, 048, 159N,  716E,  88,  981, XX,  50, NEQ, 0081, 0074, 0102, 0103,    0,    0, 022
IO, 01, 2021051406, 03, NVGM, 048, 159N,  716E,  88,  981, XX,  64, NEQ, 0045, 0066, 0110, 0043,    0,    0, 022
IO, 01, 2021051406, 03, NVGM, 054, 167N,  711E,  97,  977, XX,  34, NEQ, 0161, 0156, 0132, 0181,    0,    0, 025
IO, 01, 2021051406, 03, NVGM, 054, 167N,  711E,  97,  977, XX,  50, NEQ, 0084, 0079, 0077, 0133,    0,    0, 025
IO, 01, 2021051406, 03, NVGM, 054, 167N,  711E,  97,  977, XX,  64, NEQ, 0057, 0053, 0055, 0090,    0,    0, 025
IO, 01, 2021051406, 03, NVGM, 060, 175N,  706E,  98,  977, XX,  34, NEQ, 0147, 0140, 0035, 0199,    0,    0, 022
IO, 01, 2021051406, 03, NVGM, 060, 175N,  706E,  98,  977, XX,  50, NEQ, 0107, 0093, 0035, 0140,    0,    0, 022
IO, 01, 2021051406, 03, NVGM, 060, 175N,  706E,  98,  977, XX,  64, NEQ, 0059, 0053, 0035, 0089,    0,    0, 022
IO, 01, 2021051406, 03, NVGM, 066, 184N,  702E, 109,  972, XX,  34, NEQ, 0125, 0199, 0138, 0055,    0,    0, 022
IO, 01, 2021051406, 03, NVGM, 066, 184N,  702E, 109,  972, XX,  50, NEQ, 0088, 0089, 0104, 0055,    0,    0, 022
IO, 01, 2021051406, 03, NVGM, 066, 184N,  702E, 109,  972, XX,  64, NEQ, 0063, 0065, 0109, 0055,    0,    0, 022
IO, 01, 2021051406, 03, NVGM, 072, 192N,  696E, 107,  972, XX,  34, NEQ, 0169, 0208, 0118, 0135,    0,    0, 022
IO, 01, 2021051406, 03, NVGM, 072, 192N,  696E, 107,  972, XX,  50, NEQ, 0103, 0092, 0071, 0085,    0,    0, 022
IO, 01, 2021051406, 03, NVGM, 072, 192N,  696E, 107,  972, XX,  64, NEQ, 0064, 0056, 0053, 0061,    0,    0, 022
