SH, 91, 2013011900, 03, NG03, 126, 146S, 1709W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 132, 152S, 1701W,   0, 1005, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 138, 157S, 1692W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG03, 144, 158S, 1685W,   0, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 000, 115S, 1751E,  25, 1004, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 006, 123S, 1755E,  38, 1003, XX,  34, NEQ, 0090, 0000, 0000, 0105
SH, 91, 2013011900, 03, NG04, 012, 126S, 1760E,  25, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 018, 132S, 1769E,  21, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 024, 140S, 1779E,  16, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 030, 145S, 1787E,  22, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 036, 147S, 1799E,  23, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 042, 148S, 1791W,  24, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 048, 148S, 1788W,  22, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 054, 149S, 1781W,  21, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 060, 149S, 1775W,  23, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 066, 148S, 1772W,  24, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 072, 150S, 1771W,  24, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 078, 149S, 1773W,  25, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 084, 149S, 1776W,  24, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 090, 150S, 1780W,   0, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 096, 147S, 1781W,   0, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 102, 144S, 1785W,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 108, 144S, 1788W,   0, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 114, 144S, 1790W,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 120, 148S, 1792W,   0,  998, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 126, 149S, 1791W,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 132, 150S, 1790W,   0,  997, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 138, 153S, 1787W,   0,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG04, 144, 159S, 1781W,   0,  995, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 000, 129S, 1750E,  29, 1003, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 006, 138S, 1758E,  44, 1002, XX,  34, NEQ, 0200, 0000, 0000, 0140
SH, 91, 2013011900, 03, NG05, 012, 142S, 1765E,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 018, 145S, 1776E,  25, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 024, 150S, 1788E,  23, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 030, 149S, 1798W,  25, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 036, 150S, 1783W,  26, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 042, 151S, 1776W,  24, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 048, 153S, 1770W,  27, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 054, 158S, 1767W,  25, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 060, 160S, 1766W,  26, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 066, 160S, 1768W,  26, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 072, 160S, 1770W,  23, 1001, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 078, 161S, 1773W,  24, 1000, XX,  34, NEQ, 0000, 0000, 0000, 0000
SH, 91, 2013011900, 03, NG05, 084, 161S, 1775W,  23, 1002, XX,  34, NEQ, 0000, 0000, 0000, 0000
