IO, 01, 2020051618, 03, COTC, 030, 127N,  866E,  86,  969, XX,  50, NEQ, 0050, 0084, 0059, 0123,    0,    0, 031
IO, 01, 2020051618, 03, COTC, 030, 127N,  866E,  86,  969, XX,  64, NEQ, 0000, 0028, 0038, 0039,    0,    0, 031
IO, 01, 2020051618, 03, COTC, 036, 132N,  869E,  65,  968, XX,  34, NEQ, 0266, 0275, 0232, 0219,    0,    0, 065
IO, 01, 2020051618, 03, COTC, 036, 132N,  869E,  65,  968, XX,  50, NEQ, 0076, 0073, 0105, 0113,    0,    0, 065
IO, 01, 2020051618, 03, COTC, 036, 132N,  869E,  65,  968, XX,  64, NEQ, 0000, 0000, 0067, 0000,    0,    0, 065
IO, 01, 2020051618, 03, COTC, 042, 140N,  870E,  76,  960, XX,  34, NEQ, 0250, 0288, 0242, 0224,    0,    0, 032
IO, 01, 2020051618, 03, COTC, 042, 140N,  870E,  76,  960, XX,  50, NEQ, 0068, 0074, 0085, 0163,    0,    0, 032
IO, 01, 2020051618, 03, COTC, 042, 140N,  870E,  76,  960, XX,  64, NEQ, 0039, 0042, 0052, 0041,    0,    0, 032
IO, 01, 2020051618, 03, COTC, 048, 147N,  874E,  80,  958, XX,  34, NEQ, 0275, 0298, 0222, 0205,    0,    0, 025
IO, 01, 2020051618, 03, COTC, 048, 147N,  874E,  80,  958, XX,  50, NEQ, 0086, 0100, 0091, 0161,    0,    0, 025
IO, 01, 2020051618, 03, COTC, 048, 147N,  874E,  80,  958, XX,  64, NEQ, 0048, 0042, 0061, 0045,    0,    0, 025
IO, 01, 2020051618, 03, COTC, 054, 155N,  879E,  91,  950, XX,  34, NEQ, 0252, 0299, 0252, 0228,    0,    0, 028
IO, 01, 2020051618, 03, COTC, 054, 155N,  879E,  91,  950, XX,  50, NEQ, 0094, 0113, 0159, 0150,    0,    0, 028
IO, 01, 2020051618, 03, COTC, 054, 155N,  879E,  91,  950, XX,  64, NEQ, 0045, 0053, 0048, 0045,    0,    0, 028
IO, 01, 2020051618, 03, COTC, 060, 163N,  882E,  93,  947, XX,  34, NEQ, 0274, 0298, 0217, 0234,    0,    0, 021
IO, 01, 2020051618, 03, COTC, 060, 163N,  882E,  93,  947, XX,  50, NEQ, 0124, 0214, 0141, 0122,    0,    0, 021
IO, 01, 2020051618, 03, COTC, 060, 163N,  882E,  93,  947, XX,  64, NEQ, 0047, 0053, 0079, 0043,    0,    0, 021
IO, 01, 2020051618, 03, COTC, 066, 174N,  886E, 113,  933, XX,  34, NEQ, 0260, 0275, 0250, 0220,    0,    0, 019
IO, 01, 2020051618, 03, COTC, 066, 174N,  886E, 113,  933, XX,  50, NEQ, 0116, 0166, 0091, 0116,    0,    0, 019
IO, 01, 2020051618, 03, COTC, 066, 174N,  886E, 113,  933, XX,  64, NEQ, 0055, 0054, 0067, 0048,    0,    0, 019
IO, 01, 2020051618, 03, COTC, 072, 186N,  891E, 129,  922, XX,  34, NEQ, 0257, 0267, 0191, 0188,    0,    0, 016
IO, 01, 2020051618, 03, COTC, 072, 186N,  891E, 129,  922, XX,  50, NEQ, 0113, 0108, 0097, 0121,    0,    0, 016
IO, 01, 2020051618, 03, COTC, 072, 186N,  891E, 129,  922, XX,  64, NEQ, 0056, 0056, 0055, 0049,    0,    0, 016
IO, 01, 2020051618, 03, COTC, 078, 201N,  896E, 150,  903, XX,  34, NEQ, 0176, 0294, 0221, 0167,    0,    0, 029
IO, 01, 2020051618, 03, COTC, 078, 201N,  896E, 150,  903, XX,  50, NEQ, 0146, 0196, 0106, 0111,    0,    0, 029
