SH, 07, 2016011500, 03, CTCX, 090, 230S, 1644W,  56,  977, XX,  50, NEQ, 0137, 0175, 0129, 0109,    0,    0, 105
SH, 07, 2016011500, 03, CTCX, 096, 236S, 1642W,  51,  981, XX,  34, NEQ, 0199, 0282, 0243, 0209,    0,    0, 084
SH, 07, 2016011500, 03, CTCX, 096, 236S, 1642W,  51,  981, XX,  50, NEQ, 0000, 0156, 0155, 0000,    0,    0, 084
SH, 07, 2016011500, 03, CTCX, 102, 243S, 1644W,  52,  982, XX,  34, NEQ, 0201, 0320, 0227, 0204,    0,    0, 107
SH, 07, 2016011500, 03, CTCX, 102, 243S, 1644W,  52,  982, XX,  50, NEQ, 0000, 0123, 0091, 0000,    0,    0, 107
SH, 07, 2016011500, 03, CTCX, 108, 241S, 1644W,  48,  986, XX,  34, NEQ, 0185, 0281, 0232, 0158,    0,    0, 108
SH, 07, 2016011500, 03, CTCX, 114, 246S, 1637W,  46,  988, XX,  34, NEQ, 0178, 0266, 0226, 0133,    0,    0, 104
SH, 07, 2016011500, 03, CTCX, 120, 250S, 1638W,  45,  989, XX,  34, NEQ, 0202, 0245, 0174, 0000,    0,    0, 085
SH, 07, 2016011500, 03, CTCX, 126, 250S, 1637W,  44,  991, XX,  34, NEQ, 0188, 0252, 0252, 0000,    0,    0, 108
SH, 07, 2016011500, 03, GFDN,   0, 142S, 1655W,  47,  993
SH, 07, 2016011500, 03, GFDN,   6, 147S, 1656W,  64,  980
SH, 07, 2016011500, 03, GFDN,  12, 151S, 1658W,  60,  980
SH, 07, 2016011500, 03, GFDN,  18, 156S, 1662W,  67,  971
SH, 07, 2016011500, 03, GFDN,  24, 158S, 1667W,  61,  971
SH, 07, 2016011500, 03, GFDN,  30, 159S, 1672W,  70,  969
SH, 07, 2016011500, 03, GFDN,  36, 160S, 1677W,  67,  965
SH, 07, 2016011500, 03, GFDN,  42, 163S, 1678W,  60,  967
SH, 07, 2016011500, 03, GFDN,  48, 167S, 1681W,  65,  965
SH, 07, 2016011500, 03, GFDN,  54, 170S, 1679W,  66,  966
SH, 07, 2016011500, 03, GFDN,  60, 178S, 1678W,  67,  962
SH, 07, 2016011500, 03, GFDN,  66, 182S, 1676W,  64,  963
SH, 07, 2016011500, 03, GFDN,  72, 189S, 1670W,  69,  965
SH, 07, 2016011500, 03, GFDN,  78, 194S, 1668W,  57,  970
SH, 07, 2016011500, 03, GFDN,  84, 197S, 1665W,  55,  971
SH, 07, 2016011500, 03, GFDN,  90, 201S, 1662W,  56,  973
SH, 07, 2016011500, 03, GFDN,  96, 204S, 1658W,  50,  975
SH, 07, 2016011500, 03, GFDN, 102, 205S, 1655W,  50,  977
SH, 07, 2016011500, 03, GFDN, 108, 205S, 1654W,  56,  978
SH, 07, 2016011500, 03, GFDN, 114, 205S, 1654W,  47,  980
SH, 07, 2016011500, 03, GFDN, 120, 206S, 1655W,  48,  981
SH, 07, 2016011500, 03, GFDN, 126, 204S, 1653W,  45,  982
SH, 07, 2016011500, 03, NVGM, 000, 144S, 1657W,  37,  996, XX,  34, NEQ, 0125, 0193, 0000, 0000,    0,    0, 122
